Vacancy_Record_ID,Position_ID,Position_Title,Department_ID,Department_Name,Organizational_Unit_ID,Vacancy_Start_Date,Vacancy_End_Date,Vacancy_Status,Vacancy_Age_in_Days,Budgeted_Position,Position_Criticality,Recruitment_Stage,Target_Fill_Date,Vacancy_Reason,Expected_Time_to_Fill_in_Days,Actual_Time_to_Fill_in_Days,Data_As_Of_Date
VACANCY-0116,POS-560,Warehouse Assistant,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG-TEAM-01,2024-07-23,2024-12-12,Filled,142,Yes,Medium,Position Filled,2024-11-20,Promotion,120,142,2024-12-12
VACANCY-0117,POS-504,Procurement Officer,DEPARTMENT-012,Procurement & Supply Chain,ORGANIZATIONAL-UNIT-PRC-TEAM-03,2024-09-08,2024-11-06,Filled,59,Yes,Medium,Position Filled,2025-01-06,Employee resignation,120,59,2024-11-06
VACANCY-0118,POS-235,Accounts Assistant,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-03,2026-03-18,2026-05-22,Filled,65,Yes,Medium,Position Filled,2026-07-16,Internal transfer,120,65,2026-05-22
VACANCY-0119,POS-018,Software Engineer II,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-01,2025-09-25,2026-02-11,Filled,139,Yes,Medium,Position Filled,2026-01-23,Employee resignation,120,139,2026-02-11
VACANCY-0120,POS-592,Production Technician,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD-TEAM-03,2025-06-08,2025-09-22,Filled,106,Yes,Medium,Position Filled,2025-10-06,Promotion,120,106,2025-09-22
VACANCY-0121,POS-151,Software Engineer I,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-02,2024-05-08,2024-10-22,Filled,167,Yes,Low,Position Filled,2024-09-05,Employee resignation,120,167,2024-10-22
VACANCY-0122,POS-323,Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED-TEAM-03,2025-09-05,2025-12-24,Filled,110,Yes,Medium,Position Filled,2026-01-03,Retirement,120,110,2025-12-24
VACANCY-0123,POS-684,Research Analyst,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND-TEAM-02,2026-05-20,2026-06-24,Filled,35,Yes,Medium,Position Filled,2026-09-17,Retirement,120,35,2026-06-24
VACANCY-0124,POS-424,Administration Officer,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-ADM-TEAM-02,2025-08-07,2025-09-09,Filled,33,Yes,Medium,Position Filled,2025-12-05,Promotion,120,33,2025-09-09
VACANCY-0125,POS-217,HR Assistant,DEPARTMENT-001,HR,ORGANIZATIONAL-UNIT-HR-TEAM-01,2026-03-18,2026-04-22,Filled,35,Yes,Medium,Position Filled,2026-07-16,Promotion,120,35,2026-04-22
VACANCY-0126,POS-373,Learning and Development Specialist,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN-TEAM-03,2025-05-04,2025-10-21,Filled,170,Yes,Medium,Position Filled,2025-09-01,Promotion,120,170,2025-10-21
VACANCY-0127,POS-169,IT Operations Manager,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT,2026-01-09,2026-06-15,Filled,157,Yes,High,Position Filled,2026-05-09,Promotion,120,157,2026-06-15
VACANCY-0128,POS-579,Senior Production Supervisor,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD-TEAM-03,2024-08-07,2024-11-13,Filled,98,Yes,High,Position Filled,2024-12-05,Employee resignation,120,98,2024-11-13
VACANCY-0129,POS-475,Legal Assistant,DEPARTMENT-011,Legal & Compliance,ORGANIZATIONAL-UNIT-LGL-TEAM-03,2025-04-13,2025-06-13,Filled,61,Yes,Medium,Position Filled,2025-08-11,Internal transfer,120,61,2025-06-13
VACANCY-0130,POS-267,Junior Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-03,2025-09-17,2025-12-24,Filled,98,Yes,Medium,Position Filled,2026-01-15,Promotion,120,98,2025-12-24
VACANCY-0131,POS-695,Research Associate,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND-TEAM-02,2025-10-07,2026-01-24,Filled,109,Yes,Medium,Position Filled,2026-02-04,Retirement,120,109,2026-01-24
VACANCY-0132,POS-464,Compliance Analyst,DEPARTMENT-011,Legal & Compliance,ORGANIZATIONAL-UNIT-LGL-TEAM-03,2025-10-04,2026-02-07,Filled,126,Yes,Medium,Position Filled,2026-02-01,Promotion,120,126,2026-02-07
VACANCY-0133,POS-383,Training Coordinator,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN-TEAM-03,2025-11-21,2026-01-17,Filled,57,Yes,Medium,Position Filled,2026-03-21,Retirement,120,57,2026-01-17
VACANCY-0134,POS-449,Senior Legal Counsel,DEPARTMENT-011,Legal & Compliance,ORGANIZATIONAL-UNIT-LGL-TEAM-02,2025-07-10,2025-09-19,Filled,71,Yes,High,Position Filled,2025-11-07,Promotion,120,71,2025-09-19
VACANCY-0135,POS-297,Systems Administrator,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT-TEAM-02,2025-10-10,2026-03-24,Filled,165,Yes,Medium,Position Filled,2026-02-07,Retirement,120,165,2026-03-24
VACANCY-0136,POS-263,Customer Support Intern,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS-TEAM-01,2024-06-05,2024-10-16,Filled,133,Yes,Medium,Position Filled,2024-10-03,Retirement,120,133,2024-10-16
VACANCY-0137,POS-437,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-ADM-TEAM-01,2026-01-02,2026-04-10,Filled,98,Yes,Medium,Position Filled,2026-05-02,Internal transfer,120,98,2026-04-10
VACANCY-0138,POS-543,Logistics Coordinator,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG-TEAM-01,2025-05-31,2025-06-25,Filled,25,Yes,Medium,Position Filled,2025-09-28,Promotion,120,25,2025-06-25
VACANCY-0139,POS-269,Engineering Intern,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-03,2025-02-19,2025-04-05,Filled,45,Yes,Medium,Position Filled,2025-06-19,Internal transfer,120,45,2025-04-05
VACANCY-0140,POS-301,IT Support Technician,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT-TEAM-01,2024-08-25,2025-01-20,Filled,148,Yes,Medium,Position Filled,2024-12-23,Retirement,120,148,2025-01-20
VACANCY-0141,POS-324,Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED-TEAM-01,2026-02-03,2026-06-13,Filled,130,Yes,Medium,Position Filled,2026-06-03,Employee resignation,120,130,2026-06-13
VACANCY-0142,POS-663,Research and Development Manager,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND,2025-10-16,2026-03-12,Filled,147,Yes,High,Position Filled,2026-02-13,Employee resignation,120,147,2026-03-12
VACANCY-0143,POS-616,Production Intern,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD-TEAM-02,2025-08-02,2026-01-17,Filled,168,Yes,Medium,Position Filled,2025-11-30,Internal transfer,120,168,2026-01-17
VACANCY-0144,POS-659,Quality Assurance Intern,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS-TEAM-03,2026-01-05,2026-05-17,Filled,132,Yes,Medium,Position Filled,2026-05-05,Retirement,120,132,2026-05-17
VACANCY-0145,POS-521,Procurement Assistant,DEPARTMENT-012,Procurement & Supply Chain,ORGANIZATIONAL-UNIT-PRC-TEAM-03,2024-10-05,2024-12-11,Filled,67,Yes,Medium,Position Filled,2025-02-02,Retirement,120,67,2024-12-11
VACANCY-0146,POS-625,Senior Quality Engineer,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS-TEAM-02,2025-09-11,2025-11-05,Filled,55,Yes,High,Position Filled,2026-01-09,Employee resignation,120,55,2025-11-05
VACANCY-0147,POS-564,Warehouse Assistant,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG-TEAM-02,2026-02-24,2026-04-22,Filled,57,Yes,Medium,Position Filled,2026-06-24,Retirement,120,57,2026-04-22
VACANCY-0148,POS-240,Accounts Assistant,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-01,2025-08-18,2025-12-06,Filled,110,Yes,Medium,Position Filled,2025-12-16,Internal transfer,120,110,2025-12-06
VACANCY-0149,POS-247,Finance Intern,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-01,2024-09-09,2025-02-18,Filled,162,Yes,Medium,Position Filled,2025-01-07,Internal transfer,120,162,2025-02-18
VACANCY-0150,POS-287,IT Manager,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-IT,2025-10-23,2026-04-06,Filled,165,Yes,High,Position Filled,2026-02-20,Employee resignation,120,165,2026-04-06
VACANCY-0151,POS-194,Senior Support Executive,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS-TEAM-03,2024-08-12,2024-12-06,Filled,116,Yes,Medium,Position Filled,2024-12-10,Retirement,120,116,2024-12-06
VACANCY-0152,POS-631,Quality Analyst,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS-TEAM-01,2024-09-01,2024-10-05,Filled,34,Yes,Medium,Position Filled,2024-12-30,Internal transfer,120,34,2024-10-05
VACANCY-0153,POS-161,Financial Analyst,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-03,2025-05-19,2025-06-24,Filled,36,Yes,Medium,Position Filled,2025-09-16,Employee resignation,120,36,2025-06-24
VACANCY-0154,POS-380,Learning and Development Specialist,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN-TEAM-03,2024-11-17,2025-02-08,Filled,83,Yes,Medium,Position Filled,2025-03-17,Employee resignation,120,83,2025-02-08
VACANCY-0155,POS-465,Compliance Analyst,DEPARTMENT-011,Legal & Compliance,ORGANIZATIONAL-UNIT-LGL-TEAM-01,2024-11-16,2025-04-18,Filled,153,Yes,Medium,Position Filled,2025-03-16,Employee resignation,120,153,2025-04-18
VACANCY-0156,POS-428,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-ADM-TEAM-01,2025-03-02,2025-05-14,Filled,73,Yes,Medium,Position Filled,2025-06-30,Internal transfer,120,73,2025-05-14
VACANCY-0157,POS-406,Senior Administration Officer,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-ADM-TEAM-01,2024-08-09,2025-01-19,Filled,163,Yes,High,Position Filled,2024-12-07,Promotion,120,163,2025-01-19
VACANCY-0158,POS-193,Operations Officer,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,2026-01-07,2026-05-09,Filled,122,Yes,Medium,Position Filled,2026-05-07,Internal transfer,120,122,2026-05-09
VACANCY-0159,POS-052,Customer Support Representative,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS-TEAM-02,2024-10-25,2024-12-10,Filled,46,Yes,Medium,Position Filled,2025-02-22,Promotion,120,46,2024-12-10
VACANCY-0160,POS-607,Production Operator,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD-TEAM-03,2024-08-24,2025-01-18,Filled,147,Yes,Medium,Position Filled,2024-12-22,Employee resignation,120,147,2025-01-18
VACANCY-0161,POS-163,Software Engineer II,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-02,2025-08-05,2025-12-12,Filled,129,Yes,Medium,Position Filled,2025-12-03,Employee resignation,120,129,2025-12-12
VACANCY-0162,POS-122,Operations Officer,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,2024-08-17,2024-11-16,Filled,91,Yes,Medium,Position Filled,2024-12-15,Promotion,120,91,2024-11-16
VACANCY-0163,POS-157,Operations Officer,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,2025-01-24,2025-03-08,Filled,43,Yes,Medium,Position Filled,2025-05-24,Internal transfer,120,43,2025-03-08
VACANCY-0164,POS-581,Senior Production Supervisor,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD-TEAM-03,2024-09-11,2024-10-22,Filled,41,Yes,High,Position Filled,2025-01-09,Employee resignation,120,41,2024-10-22
VACANCY-0165,POS-381,Training Coordinator,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN-TEAM-03,2024-08-24,2024-10-06,Filled,43,Yes,Medium,Position Filled,2024-12-22,Internal transfer,120,43,2024-10-06
VACANCY-0166,POS-106,Senior HR Specialist,DEPARTMENT-001,HR,ORGANIZATIONAL-UNIT-HR-TEAM-02,2025-04-08,2025-07-24,Filled,107,Yes,Medium,Position Filled,2025-08-06,Retirement,120,107,2025-07-24
VACANCY-0167,POS-470,Legal Assistant,DEPARTMENT-011,Legal & Compliance,ORGANIZATIONAL-UNIT-LGL-TEAM-03,2025-03-15,2025-08-08,Filled,146,Yes,Medium,Position Filled,2025-07-13,Employee resignation,120,146,2025-08-08
VACANCY-0168,POS-539,Senior Logistics Officer,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG-TEAM-03,2025-02-17,2025-05-10,Filled,82,Yes,High,Position Filled,2025-06-17,Retirement,120,82,2025-05-10
VACANCY-0169,POS-272,Operations Manager,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,2024-11-29,2025-03-07,Filled,98,Yes,High,Position Filled,2025-03-29,Employee resignation,120,98,2025-03-07
VACANCY-0170,POS-025,Financial Analyst,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-02,2024-10-08,2025-02-15,Filled,130,Yes,Medium,Position Filled,2025-02-05,Internal transfer,120,130,2025-02-15
VACANCY-0171,POS-274,Senior Operations Officer,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,2024-11-02,2025-03-21,Filled,139,Yes,High,Position Filled,2025-03-02,Retirement,120,139,2025-03-21
VACANCY-0172,POS-251,Senior Account Manager,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL-TEAM-02,2025-07-04,2025-09-22,Filled,80,Yes,High,Position Filled,2025-11-01,Internal transfer,120,80,2025-09-22
VACANCY-0173,POS-029,Software Engineer II,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-03,2026-01-20,2026-05-13,Filled,113,Yes,Medium,Position Filled,2026-05-20,Retirement,120,113,2026-05-13
VACANCY-0174,POS-328,Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED-TEAM-02,2025-06-23,2025-07-22,Filled,29,Yes,Medium,Position Filled,2025-10-21,Retirement,120,29,2025-07-22
VACANCY-0175,POS-447,Senior Legal Counsel,DEPARTMENT-011,Legal & Compliance,ORGANIZATIONAL-UNIT-LGL-TEAM-02,2025-10-17,2025-11-21,Filled,35,Yes,High,Position Filled,2026-02-14,Internal transfer,120,35,2025-11-21
VACANCY-0176,POS-336,Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED-TEAM-02,2025-07-07,2025-08-12,Filled,36,Yes,Medium,Position Filled,2025-11-04,Promotion,120,36,2025-08-12
VACANCY-0177,POS-427,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-ADM-TEAM-02,2025-09-16,2025-12-24,Filled,99,Yes,Medium,Position Filled,2026-01-14,Retirement,120,99,2025-12-24
VACANCY-0178,POS-391,Training Coordinator,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN-TEAM-01,2025-08-01,2025-12-08,Filled,129,Yes,Medium,Position Filled,2025-11-29,Retirement,120,129,2025-12-08
VACANCY-0179,POS-572,Logistics Intern,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG-TEAM-03,2025-11-09,2026-04-11,Filled,153,Yes,Medium,Position Filled,2026-03-09,Retirement,120,153,2026-04-11
VACANCY-0180,POS-557,Warehouse Assistant,DEPARTMENT-013,Logistics & Warehouse,ORGANIZATIONAL-UNIT-LOG-TEAM-02,2025-07-07,2025-12-20,Filled,166,Yes,Medium,Position Filled,2025-11-04,Employee resignation,120,166,2025-12-20
VACANCY-0181,POS-596,Production Technician,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD-TEAM-03,2026-01-03,2026-06-16,Filled,164,Yes,Medium,Position Filled,2026-05-03,Internal transfer,120,164,2026-06-16
VACANCY-0182,POS-060,Sales Executive,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL-TEAM-01,2025-02-14,2025-05-05,Filled,80,Yes,Low,Position Filled,2025-06-14,Retirement,120,80,2025-05-05
VACANCY-0183,POS-055,Software Engineer II,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-02,2025-01-09,2025-04-18,Filled,99,Yes,Medium,Position Filled,2025-05-09,Internal transfer,120,99,2025-04-18
VACANCY-0184,POS-522,Procurement Assistant,DEPARTMENT-012,Procurement & Supply Chain,ORGANIZATIONAL-UNIT-PRC-TEAM-02,2025-03-30,2025-04-23,Filled,24,Yes,Medium,Position Filled,2025-07-28,Promotion,120,24,2025-04-23
VACANCY-0185,POS-432,Administrative Assistant,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-ADM-TEAM-02,2024-12-12,2025-01-05,Filled,24,Yes,Medium,Position Filled,2025-04-11,Internal transfer,120,24,2025-01-05
VACANCY-0186,POS-697,Research Associate,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND-TEAM-03,2025-01-10,2025-03-10,Filled,59,Yes,Medium,Position Filled,2025-05-10,Promotion,120,59,2025-03-10
VACANCY-0187,POS-359,Senior Trainer,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN-TEAM-01,2024-07-31,2024-10-05,Filled,66,Yes,High,Position Filled,2024-11-28,Employee resignation,120,66,2024-10-05
VACANCY-0188,POS-223,HR Intern,DEPARTMENT-001,HR,ORGANIZATIONAL-UNIT-HR-TEAM-02,2025-05-15,2025-07-24,Filled,70,Yes,Medium,Position Filled,2025-09-12,Employee resignation,120,70,2025-07-24
VACANCY-0189,POS-010,Senior Software Engineer,DEPARTMENT-005,Engineering,ORGANIZATIONAL-UNIT-ENG-TEAM-02,2025-05-29,2025-10-07,Filled,131,Yes,High,Position Filled,2025-09-26,Employee resignation,120,131,2025-10-07
VACANCY-0190,POS-090,Financial Analyst,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN-TEAM-01,2025-12-26,2026-02-10,Filled,46,Yes,Medium,Position Filled,2026-04-25,Retirement,120,46,2026-02-10
VACANCY-0191,POS-277,Senior Operations Officer,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,2024-11-26,2024-12-25,Filled,29,Yes,High,Position Filled,2025-03-26,Retirement,120,29,2024-12-25
VACANCY-0192,POS-419,Administration Officer,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-ADM-TEAM-02,2025-07-02,2025-11-10,Filled,131,Yes,Medium,Position Filled,2025-10-30,Promotion,120,131,2025-11-10
VACANCY-0193,POS-371,Learning and Development Specialist,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN-TEAM-02,2024-09-14,2024-11-24,Filled,71,Yes,Medium,Position Filled,2025-01-12,Internal transfer,120,71,2024-11-24
VACANCY-0194,POS-227,Finance Manager,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN,2024-12-05,2025-05-19,Filled,165,Yes,High,Position Filled,2025-04-04,Employee resignation,120,165,2025-05-19
VACANCY-0195,POS-111,Account Manager,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-SAL-TEAM-01,2024-09-03,2024-12-07,Filled,95,Yes,Medium,Position Filled,2025-01-01,Retirement,120,95,2024-12-07
VACANCY-0196,POS-646,Quality Inspector,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-QAS-TEAM-02,2024-12-29,2025-06-11,Filled,164,Yes,Medium,Position Filled,2025-04-28,Internal transfer,120,164,2025-06-11
VACANCY-0197,POS-602,Production Operator,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-PRD-TEAM-03,2025-11-02,2026-01-16,Filled,75,Yes,Medium,Position Filled,2026-03-02,Employee resignation,120,75,2026-01-16
VACANCY-0198,POS-363,Senior Trainer,DEPARTMENT-009,Training & Development,ORGANIZATIONAL-UNIT-TRN-TEAM-01,2025-12-22,2026-03-12,Filled,80,Yes,High,Position Filled,2026-04-21,Promotion,120,80,2026-03-12
VACANCY-0199,POS-686,Research Analyst,DEPARTMENT-016,Research & Development,ORGANIZATIONAL-UNIT-RND-TEAM-02,2026-05-02,2026-05-24,Filled,22,Yes,Medium,Position Filled,2026-08-30,Employee resignation,120,22,2026-05-24
VACANCY-0200,POS-326,Medical Officer,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED-TEAM-03,2025-06-04,2025-08-19,Filled,76,Yes,Medium,Position Filled,2025-10-02,Employee resignation,120,76,2025-08-19
